EA2	0	1859	1
EA2	0	2753	0
EA2	0	3170	0
EA2	0	326658	1
EA2	0	5661	0
EA2	0	749467	0
EA2	0	70381	1
EA2	0	749857	0
EA2	0	615741	0
EA2	0	17854	0
EA2	0	21290	0
EA2	0	24694	1
EA2	0	28737	0
EA2	0	668895	0
EA2	0	703300	0
EA2	0	147523	0
EA2	0	638117	0
EA2	0	438659	0
EA2	0	527754	0
EA2	0	376302	0
EA2	0	666766	0
EA2	0	707327	0
EA2	0	78341	0
EA2	0	739241	0
EA2	0	87208	0
EA2	0	660223	1
EA2	0	425317	0
EA2	0	100720	0
EA2	0	102195	0
EA2	0	706261	0
EA2	0	620930	0
EA2	0	693873	0
EA2	0	571353	0
EA2	0	534174	0
EA2	0	587924	0
EA2	0	139924	0
EA2	0	140716	0
EA2	0	716453	0
EA2	0	149905	0
EA2	0	295123	1
EA2	0	411329	0
EA2	0	163965	0
EA2	0	165167	0
EA2	0	368618	0
EA2	0	637006	1
EA2	0	344771	1
EA2	0	238323	0
EA2	0	418330	1
EA2	0	336840	0
EA2	0	379827	0
EA2	0	275460	0
EA2	0	276790	0
EA2	0	293047	0
EA2	0	294458	0
EA2	0	295002	1
EA2	0	296505	0
EA2	0	328443	0
EA2	0	327721	1
EA2	0	318121	0
EA2	0	327641	0
EA2	0	389546	0
EA2	0	487708	0
EA2	0	114738	0
EA2	0	473141	0
EA2	0	659642	0
EA2	0	406836	0
EA2	0	589727	0
EA2	0	285442	0
EA2	0	486514	0
EA2	0	438719	0
EA2	0	214898	0
EA2	0	558102	0
EA2	0	398447	0
EA2	0	382092	0
EA2	0	436496	0
EA2	0	221516	0
EA2	0	269735	0
EA2	0	55422	0
EA2	0	293944	0
EA2	0	366501	0
